customer_id,city,signup_date,signup_year,signup_month,signup_month_name,signup_quarter
1,Mumbai,2021-02-16,2021,2,February,Q1
2,Bangalore,2019-06-22,2019,6,June,Q2
3,Pune,2022-01-25,2022,1,January,Q1
4,Mumbai,2023-06-14,2023,6,June,Q2
5,Delhi,2023-06-24,2023,6,June,Q2
6,Bangalore,2022-03-07,2022,3,March,Q1
7,Delhi,2021-07-18,2021,7,July,Q3
8,Bangalore,2021-03-29,2021,3,March,Q1
9,Mumbai,2019-09-06,2019,9,September,Q3
10,Bangalore,2022-05-25,2022,5,May,Q2
11,Delhi,2022-03-08,2022,3,March,Q1
12,Pune,2022-05-13,2022,5,May,Q2
13,Bangalore,2023-11-29,2023,11,November,Q4
14,Bangalore,2022-11-08,2022,11,November,Q4
15,Pune,2022-08-23,2022,8,August,Q3
16,Bangalore,2019-04-11,2019,4,April,Q2
17,Bangalore,2021-09-25,2021,9,September,Q3
18,Bangalore,2020-06-28,2020,6,June,Q2
19,Delhi,2020-06-11,2020,6,June,Q2
20,Mumbai,2021-07-07,2021,7,July,Q3
21,Mumbai,2022-11-09,2022,11,November,Q4
22,Mumbai,2020-02-05,2020,2,February,Q1
23,Pune,2022-10-27,2022,10,October,Q4
24,Bangalore,2022-10-10,2022,10,October,Q4
25,Bangalore,2020-10-19,2020,10,October,Q4
26,Delhi,2021-01-18,2021,1,January,Q1
27,Mumbai,2023-04-08,2023,4,April,Q2
28,Delhi,2022-10-15,2022,10,October,Q4
29,Bangalore,2019-07-20,2019,7,July,Q3
30,Bangalore,2023-10-05,2023,10,October,Q4
31,Bangalore,2023-06-20,2023,6,June,Q2
32,Delhi,2023-10-29,2023,10,October,Q4
33,Delhi,2022-03-18,2022,3,March,Q1
34,Pune,2019-03-18,2019,3,March,Q1
35,Delhi,2019-05-01,2019,5,May,Q2
36,Mumbai,2021-07-31,2021,7,July,Q3
37,Bangalore,2019-02-10,2019,2,February,Q1
38,Bangalore,2021-05-26,2021,5,May,Q2
39,Pune,2021-08-17,2021,8,August,Q3
40,Mumbai,2023-04-20,2023,4,April,Q2
41,Mumbai,2019-05-16,2019,5,May,Q2
42,Delhi,2021-03-25,2021,3,March,Q1
43,Delhi,2020-06-15,2020,6,June,Q2
44,Bangalore,2023-01-14,2023,1,January,Q1
45,Bangalore,2022-11-16,2022,11,November,Q4
46,Pune,2021-04-17,2021,4,April,Q2
47,Bangalore,2023-07-20,2023,7,July,Q3
48,Delhi,2021-03-22,2021,3,March,Q1
49,Mumbai,2022-04-18,2022,4,April,Q2
50,Mumbai,2022-07-30,2022,7,July,Q3
51,Delhi,2022-01-02,2022,1,January,Q1
52,Mumbai,2023-07-29,2023,7,July,Q3
53,Delhi,2020-10-08,2020,10,October,Q4
54,Mumbai,2019-12-06,2019,12,December,Q4
55,Delhi,2019-05-18,2019,5,May,Q2
56,Bangalore,2020-04-19,2020,4,April,Q2
57,Bangalore,2021-05-05,2021,5,May,Q2
58,Pune,2023-06-23,2023,6,June,Q2
59,Bangalore,2022-01-22,2022,1,January,Q1
60,Bangalore,2022-01-03,2022,1,January,Q1
61,Delhi,2023-09-29,2023,9,September,Q3
62,Mumbai,2020-07-14,2020,7,July,Q3
63,Delhi,2020-12-02,2020,12,December,Q4
64,Pune,2020-12-03,2020,12,December,Q4
65,Delhi,2019-05-09,2019,5,May,Q2
66,Bangalore,2022-09-27,2022,9,September,Q3
67,Pune,2020-03-24,2020,3,March,Q1
68,Pune,2020-07-01,2020,7,July,Q3
69,Mumbai,2020-10-15,2020,10,October,Q4
70,Bangalore,2019-09-15,2019,9,September,Q3
71,Pune,2021-08-19,2021,8,August,Q3
72,Delhi,2020-10-19,2020,10,October,Q4
73,Mumbai,2023-08-24,2023,8,August,Q3
74,Delhi,2020-05-15,2020,5,May,Q2
75,Pune,2021-05-06,2021,5,May,Q2
76,Pune,2021-10-02,2021,10,October,Q4
77,Pune,2020-06-02,2020,6,June,Q2
78,Pune,2022-02-25,2022,2,February,Q1
79,Delhi,2023-10-30,2023,10,October,Q4
80,Mumbai,2019-08-21,2019,8,August,Q3
81,Delhi,2020-02-18,2020,2,February,Q1
82,Delhi,2021-09-27,2021,9,September,Q3
83,Bangalore,2023-09-19,2023,9,September,Q3
84,Mumbai,2019-08-13,2019,8,August,Q3
