order_id,customer_id,store_id,order_date,promotion_id,order_year,order_quarter,order_month,order_month_name,order_day,order_day_name,is_weekend
1,45308,33,2021-08-26,24,2021,Q3,8,August,26,Thursday,False
2,10070,81,2022-03-19,3,2022,Q1,3,March,19,Saturday,True
3,43308,17,2021-01-21,25,2021,Q1,1,January,21,Thursday,False
4,47997,85,2021-01-16,48,2021,Q1,1,January,16,Saturday,True
5,36546,81,2022-09-14,33,2022,Q3,9,September,14,Wednesday,False
6,9479,84,2023-02-03,2,2023,Q1,2,February,3,Friday,False
7,33431,77,2022-10-29,44,2022,Q4,10,October,29,Saturday,True
8,33130,61,2022-10-10,12,2022,Q4,10,October,10,Monday,False
9,39339,29,2021-07-09,47,2021,Q3,7,July,9,Friday,False
10,28094,21,2022-06-03,21,2022,Q2,6,June,3,Friday,False
11,26670,54,2021-04-26,17,2021,Q2,4,April,26,Monday,False
12,7224,85,2023-01-05,2,2023,Q1,1,January,5,Thursday,False
13,46135,93,2023-06-14,35,2023,Q2,6,June,14,Wednesday,False
14,39033,87,2022-03-08,36,2022,Q1,3,March,8,Tuesday,False
15,20101,57,2022-08-06,38,2022,Q3,8,August,6,Saturday,True
16,24181,19,2023-05-31,18,2023,Q2,5,May,31,Wednesday,False
17,39062,30,2022-02-03,50,2022,Q1,2,February,3,Thursday,False
18,22043,69,2020-04-27,42,2020,Q2,4,April,27,Monday,False
19,21963,18,2023-05-02,41,2023,Q2,5,May,2,Tuesday,False
20,22715,11,2021-12-21,49,2021,Q4,12,December,21,Tuesday,False
21,38754,57,2020-11-14,7,2020,Q4,11,November,14,Saturday,True
22,13747,48,2021-01-30,27,2021,Q1,1,January,30,Saturday,True
23,28602,59,2023-08-11,29,2023,Q3,8,August,11,Friday,False
24,36534,100,2023-11-15,27,2023,Q4,11,November,15,Wednesday,False
25,41687,63,2021-11-14,16,2021,Q4,11,November,14,Sunday,True
26,28497,2,2022-06-23,22,2022,Q2,6,June,23,Thursday,False
27,15432,1,2023-11-27,14,2023,Q4,11,November,27,Monday,False
28,7528,75,2023-05-08,13,2023,Q2,5,May,8,Monday,False
29,25105,85,2020-08-20,3,2020,Q3,8,August,20,Thursday,False
30,46564,35,2022-03-07,7,2022,Q1,3,March,7,Monday,False
31,26192,90,2020-09-16,8,2020,Q3,9,September,16,Wednesday,False
32,13281,41,2021-12-24,6,2021,Q4,12,December,24,Friday,False
33,29880,42,2021-04-10,36,2021,Q2,4,April,10,Saturday,True
34,41391,92,2023-02-18,41,2023,Q1,2,February,18,Saturday,True
35,14688,60,2023-12-07,45,2023,Q4,12,December,7,Thursday,False
36,6276,23,2021-08-20,46,2021,Q3,8,August,20,Friday,False
37,12703,38,2021-05-26,34,2021,Q2,5,May,26,Wednesday,False
38,33697,67,2021-07-16,23,2021,Q3,7,July,16,Friday,False
39,46646,71,2020-07-28,46,2020,Q3,7,July,28,Tuesday,False
40,12412,6,2023-11-11,4,2023,Q4,11,November,11,Saturday,True
41,26297,22,2023-09-24,10,2023,Q3,9,September,24,Sunday,True
42,31340,71,2023-03-25,8,2023,Q1,3,March,25,Saturday,True
43,44129,80,2021-11-02,30,2021,Q4,11,November,2,Tuesday,False
44,40757,60,2020-06-28,20,2020,Q2,6,June,28,Sunday,True
45,37080,72,2022-12-09,23,2022,Q4,12,December,9,Friday,False
46,2216,2,2022-08-28,44,2022,Q3,8,August,28,Sunday,True
47,34281,47,2023-11-04,41,2023,Q4,11,November,4,Saturday,True
48,22491,100,2023-11-06,32,2023,Q4,11,November,6,Monday,False
49,40684,54,2020-01-01,13,2020,Q1,1,January,1,Wednesday,False
50,8567,3,2021-01-01,44,2021,Q1,1,January,1,Friday,False
51,47209,65,2022-01-08,27,2022,Q1,1,January,8,Saturday,True
52,30912,18,2021-11-09,44,2021,Q4,11,November,9,Tuesday,False
53,18029,78,2020-11-09,15,2020,Q4,11,November,9,Monday,False
54,26471,54,2023-11-24,43,2023,Q4,11,November,24,Friday,False
55,43946,8,2020-04-05,22,2020,Q2,4,April,5,Sunday,True
56,21082,58,2022-11-26,38,2022,Q4,11,November,26,Saturday,True
57,7722,53,2023-03-29,35,2023,Q1,3,March,29,Wednesday,False
58,46847,87,2023-06-14,12,2023,Q2,6,June,14,Wednesday,False
59,7851,17,2020-12-22,22,2020,Q4,12,December,22,Tuesday,False
60,25550,61,2023-06-26,28,2023,Q2,6,June,26,Monday,False
61,47833,56,2023-05-01,19,2023,Q2,5,May,1,Monday,False
62,22271,12,2021-01-03,13,2021,Q1,1,January,3,Sunday,True
63,30855,69,2020-10-27,47,2020,Q4,10,October,27,Tuesday,False
64,21641,52,2020-07-10,27,2020,Q3,7,July,10,Friday,False
65,23258,37,2023-04-16,49,2023,Q2,4,April,16,Sunday,True
66,15443,27,2020-10-23,35,2020,Q4,10,October,23,Friday,False
67,5264,49,2020-02-14,1,2020,Q1,2,February,14,Friday,False
68,3043,39,2022-05-26,41,2022,Q2,5,May,26,Thursday,False
69,18367,34,2021-04-14,45,2021,Q2,4,April,14,Wednesday,False
70,45927,28,2021-01-01,27,2021,Q1,1,January,1,Friday,False
71,11277,50,2021-03-16,23,2021,Q1,3,March,16,Tuesday,False
72,28145,83,2023-11-08,32,2023,Q4,11,November,8,Wednesday,False
73,22326,20,2020-12-19,38,2020,Q4,12,December,19,Saturday,True
74,35693,18,2021-10-21,39,2021,Q4,10,October,21,Thursday,False
75,21309,98,2022-12-03,20,2022,Q4,12,December,3,Saturday,True
76,33530,55,2022-11-04,18,2022,Q4,11,November,4,Friday,False
77,7525,80,2023-10-04,11,2023,Q4,10,October,4,Wednesday,False
78,29718,2,2023-04-02,32,2023,Q2,4,April,2,Sunday,True
79,7001,79,2020-04-20,34,2020,Q2,4,April,20,Monday,False
80,36347,81,2021-08-31,31,2021,Q3,8,August,31,Tuesday,False
81,18873,91,2022-05-06,12,2022,Q2,5,May,6,Friday,False
82,16629,30,2021-08-01,15,2021,Q3,8,August,1,Sunday,True
83,24395,26,2023-07-09,15,2023,Q3,7,July,9,Sunday,True
84,787,21,2022-04-19,13,2022,Q2,4,April,19,Tuesday,False
85,30914,17,2023-11-17,5,2023,Q4,11,November,17,Friday,False
86,26653,98,2021-11-07,2,2021,Q4,11,November,7,Sunday,True
87,25683,77,2020-07-10,10,2020,Q3,7,July,10,Friday,False
88,45044,30,2022-10-27,35,2022,Q4,10,October,27,Thursday,False
89,47888,65,2020-03-08,6,2020,Q1,3,March,8,Sunday,True
90,37276,40,2021-09-19,19,2021,Q3,9,September,19,Sunday,True
91,2617,42,2021-08-18,35,2021,Q3,8,August,18,Wednesday,False
92,1583,21,2021-02-14,21,2021,Q1,2,February,14,Sunday,True
93,19730,27,2020-09-03,37,2020,Q3,9,September,3,Thursday,False
