Table,Column,Missing Values,Missing %
categories,category_id,0,0.0
categories,category_name,0,0.0
customers,customer_id,0,0.0
customers,city,0,0.0
customers,signup_date,0,0.0
employees,employee_id,0,0.0
employees,store_id,0,0.0
employees,salary,0,0.0
orders,order_id,0,0.0
orders,customer_id,0,0.0
orders,store_id,0,0.0
orders,order_date,0,0.0
orders,promotion_id,0,0.0
order_items,order_item_id,0,0.0
order_items,order_id,0,0.0
order_items,product_id,0,0.0
order_items,qty,0,0.0
order_items,price,0,0.0
payments,payment_id,0,0.0
payments,order_id,0,0.0
payments,amount,0,0.0
products,product_id,0,0.0
products,category_id,0,0.0
products,supplier_id,0,0.0
products,price,0,0.0
promotions,promotion_id,0,0.0
promotions,discount,0,0.0
returns,return_id,0,0.0
returns,order_item_id,0,0.0
returns,refund,0,0.0
shipments,shipment_id,0,0.0
shipments,order_id,0,0.0
shipments,status,0,0.0
stores,store_id,0,0.0
stores,city,0,0.0
suppliers,supplier_id,0,0.0
suppliers,country,0,0.0
